"Leaf_ID";"IDVar";"Water_treatment"
"4137_2022-06-01_HD";"V126";"WW"
"4136_2022-06-01_HD";"V126";"WD1"
"4134_2022-06-01_HD";"V126";"WD2"
"5626_2022-06-01_HD";"V728";"WW"
"5625_2022-06-01_HD";"V728";"WD1"
"5624_2022-06-01_HD";"V728";"WD2"
"6071_2022-06-01_HD";"V2318";"WW"
"6070_2022-06-01_HD";"V2318";"WD1"
"6076_2022-06-01_HD";"V2318";"WD2"
"6157_2022-06-01_HD";"V2503";"WW"
"6158_2022-06-01_HD";"V2503";"WD1"
"6151_2022-06-01_HD";"V2503";"WD2"
"5766_2022-07-11_HD";"V1266";"WW"
"5764_2022-07-11_HD";"V1266";"WD1"
"5763_2022-07-11_HD";"V1266";"WD2"
"5491_2022-06-01_HD";"V3381";"WW"
"5499_2022-06-01_HD";"V3381";"WD1"
"5495_2022-06-01_HD";"V3381";"WD2"
"5819_2022-06-01_HD";"V1365";"WW"
"5812_2022-06-01_HD";"V1365";"WD1"
"5813_2022-06-01_HD";"V1365";"WD2"
"4174_2022-06-01_HD";"V284";"WW"
"4177_2022-06-01_HD";"V284";"WD1"
"4170_2022-06-01_HD";"V284";"WD2"
"5688_2022-06-01_HD";"V791";"WW"
"5685_2022-06-01_HD";"V791";"WD1"
"5684_2022-06-01_HD";"V791";"WD2"
"4748_2022-06-01_HD";"V2112";"WW"
"4749_2022-06-01_HD";"V2112";"WD1"
"4743_2022-06-01_HD";"V2112";"WD2"
"5710_2022-06-01_HD";"V1186";"WW"
"5711_2022-06-01_HD";"V1186";"WD1"
"5714_2022-06-01_HD";"V1186";"WD2"
"6584_2022-06-14_calib";"V3433";"WW"
"6584_2022-06-01_HD";"V3433";"WW"
"6588_2022-06-14_calib";"V3433";"WD1"
"6588_2022-06-01_HD";"V3433";"WD1"
"6586_2022-06-14_calib";"V3433";"WD2"
"6586_2022-06-01_HD";"V3433";"WD2"
"6637_2022-06-14_calib";"V3464";"WW"
"6637_2022-06-24_HD";"V3464";"WW"
"6630_2022-06-14_calib";"V3464";"WD1"
"6630_2022-06-24_HD";"V3464";"WD1"
"6638_2022-06-14_calib";"V3464";"WD2"
"6638_2022-06-24_HD";"V3464";"WD2"
"4520_2022-06-14_calib";"V1314";"WW"
"4520_2022-06-01_HD";"V1314";"WW"
"4521_2022-06-14_calib";"V1314";"WD1"
"4521_2022-06-01_HD";"V1314";"WD1"
"4524_2022-06-14_calib";"V1314";"WD2"
"4524_2022-06-01_HD";"V1314";"WD2"
"5181_2022-06-14_calib";"V2944";"WW"
"5181_2022-06-01_HD";"V2944";"WW"
"5189_2022-06-14_calib";"V2944";"WD1"
"5189_2022-06-01_HD";"V2944";"WD1"
"5185_2022-06-14_calib";"V2944";"WD2"
"5185_2022-06-01_HD";"V2944";"WD2"
"5706_2022-06-14_calib";"V975";"WW"
"5706_2022-06-01_HD";"V975";"WW"
"5700_2022-06-14_calib";"V975";"WD1"
"5700_2022-06-01_HD";"V975";"WD1"
"5707_2022-06-14_calib";"V975";"WD2"
"5707_2022-06-01_HD";"V975";"WD2"
"6116_2022-06-14_calib";"V2460";"WW"
"6116_2022-06-01_HD";"V2460";"WW"
"6111_2022-06-14_calib";"V2460";"WD1"
